"rank","track","artist","billed_artist_count","is_collaboration","spotify_streams_total","daily_streams","daily_streams_rank","daily_stream_share_pct"
346,317,285,1,1,-0.29549219769539,0.18499727424301,174,1.06043711653998
347,608,396,1,1,-0.299440952208521,-0.603461255908779,591,-0.847761765618651
348,652,249,1,1,-0.299766415505721,-0.483880868207947,481,-0.555993743995528
349,388,81,1,1,-0.304951360912743,-0.0376151031779225,230,0.542638930017464
350,325,40,1,1,-0.306483203217132,-0.507436148428242,501,-0.608223821940408
351,314,139,1,1,-0.306739119903116,2.79833157713538,24,7.51445381707368
352,42,128,1,1,-0.307098746870672,-0.367884745399269,401,-0.264225722372406
353,330,378,1,1,-0.307947503718722,-0.167293074173849,288,0.230158980933441
354,601,1,1,1,-0.30868476237558,-0.68307374934617,665,-1.03867170569304
355,580,357,1,1,-0.311277317006358,-0.38026910262736,409,-0.289440242759589
356,604,385,1,1,-0.313194945172744,0.136309033765705,185,0.991997704060483
357,451,165,2,2,-0.313363556307567,-0.547022554486084,541,-0.700076717636576
358,596,58,1,1,-0.315746232557188,-0.608834420296115,594,-0.852264358544934
359,421,40,1,1,-0.316821971308203,-0.277512991383626,342,-0.0273893344499331
360,218,150,1,1,-0.317935536360336,-0.139397018551992,275,0.318409802288583
361,168,251,1,1,-0.318797497956133,-0.313284515385477,365,-0.112938600049305
362,242,189,1,1,-0.320172926649987,-0.530829781103791,526,-0.654150269788492
363,348,278,1,1,-0.320369778595684,-0.628479985234169,609,-0.898190806393018
364,253,310,1,1,-0.320855761505273,-0.12317838156254,270,0.365236768721923
365,45,146,2,2,-0.321248882267296,-0.622628344114387,607,-0.882881990443656
366,334,40,1,1,-0.321318737310577,-0.0271575846831956,226,0.606575749570679
367,536,100,1,1,-0.32339955977366,-0.346469678671403,385,-0.189482679796112
368,716,114,1,1,-0.324960274210804,-0.226637120800768,314,0.113992083435346
369,673,158,1,1,-0.32630023321728,-0.446066119240514,455,-0.436224772156407
370,664,204,1,1,-0.328717983975697,-0.187818001755317,294,0.218452239325105
371,620,56,1,1,-0.328799569075917,-0.551555151640744,544,-0.700076717636576
372,537,113,1,1,-0.328856816958576,0.193862025596846,171,1.18290764413487
373,56,22,1,1,-0.329495449643668,0.15360532105346,178,1.08295008117139
374,611,225,1,1,-0.330932381618814,-0.556161029015688,548,-0.709982422074399
375,338,213,1,1,-0.331406142907862,-0.645136148244731,623,-0.935112068388536
376,139,359,1,1,-0.332455149273566,-0.264548858295047,336,0.0311443735917428
377,696,211,1,1,-0.33246295646019,-0.497028201847237,494,-0.558695299751298
378,479,176,1,1,-0.335049188233653,-0.242241497120187,324,0.0923796373891882
379,286,351,1,1,-0.335906017327132,-0.652871522085946,629,-0.952221921508411
380,714,326,1,1,-0.337248144996559,0.219087663779509,165,1.27386002124578
381,4,283,1,1,-0.338124602899371,-0.360334727409362,396,-0.203890977160217
382,209,397,2,2,-0.340457428816623,-0.482408797900466,480,-0.513669370488471
383,545,328,1,1,-0.340552204206837,-0.434231363664557,440,-0.390298324308323
384,228,294,1,1,-0.341117227652118,-0.642056223692183,621,-0.922504808194945
385,221,157,1,1,-0.34123353063656,-0.354677063343274,391,-0.184980086869829
386,427,363,1,1,-0.34321838253518,-0.131594830392282,273,0.391351807694363
387,176,247,1,1,-0.344026782975335,-0.297680139066058,355,-0.0345934831319855
388,410,184,1,1,-0.345734046016214,-0.0430572371843498,231,0.625486639861066
389,441,165,2,2,-0.346367271501681,-0.464254700975263,464,-0.460538773958334
390,507,62,1,1,-0.346644363976569,-0.509554808914704,505,-0.577606190041686
391,74,306,1,1,-0.347488017237808,-0.3260934668311,372,-0.102132377026227
392,595,310,1,1,-0.348737653841995,0.0293457757573981,211,0.819998654276481
393,379,111,1,1,-0.349861691126557,-0.445499275183607,452,-0.408308696013454
394,461,60,2,2,-0.349870997100242,-0.670618267198391,649,-0.991844739259699
395,80,101,1,1,-0.354473936021451,-0.513647724747657,508,-0.580307745797455
396,151,94,1,1,-0.354590084789861,-0.443061630208847,449,-0.396601954405119
397,9,269,1,1,-0.355936222076122,-0.258240293448785,335,0.0887775630481619
398,481,122,1,1,-0.356100558535306,-0.267947767335893,338,0.0635630426609785
399,196,330,1,1,-0.358253852894963,-0.42051718596836,436,-0.332665134851904
400,259,310,1,1,-0.358432984454724,-0.0771260737148833,246,0.567853450404647
401,591,107,1,1,-0.359255351084285,-0.563226104371359,554,-0.706380347733372
402,50,61,1,1,-0.359877111571618,-0.591281652237365,579,-0.779322353139153
403,91,100,1,1,-0.361919563158219,-0.209067110337245,303,0.229258462348184
404,570,159,1,1,-0.363581019218319,-0.66180739835947,641,-0.963028144531489
405,524,383,1,1,-0.364673924141404,-0.538545757239637,534,-0.636139898083361
406,593,145,1,1,-0.366528627347452,-0.551850427822479,545,-0.67035960432311
407,288,67,1,1,-0.36666048687413,-0.622184352191486,606,-0.856766951471216
